abaddho,baddho
abyāpannacitto,abyāpanna+citto,a+byāpanna+citto
abyāpannacittā,abyāpanna+cittā,a+byāpanna+cittā
abyāpannacittāpi,abyāpanna+cittā+pi
abyāpādacchando,abyāpāda+chando
abyāpādadhātu,abyāpāda+dhātu
abyāpādapariḷāho,abyāpāda+pariḷāho
abyāpādasaññā,abyāpāda+saññā
abyāpādasaññāya,abyāpāda+saññāya
abyāpādasaṅkappo,abyāpāda+saṅkappo
abyāpādavitakkaṃ,abyāpāda+vitakkaṃ
abyāpādavitakkena,abyāpāda+vitakkena
abyāpādavitakko,abyāpāda+vitakko
abyāsekasukhaṃ,abyāseka+sukhaṃ
abālajātikā,abāla+jātikā
acakkhukaraṇaṃ,acakkhu+karaṇaṃ
acakkhukaraṇo,acakkhu+karaṇo
acakkhukaraṇā,acakkhu+karaṇā
acalappatto,acala+patto
acariṃsuttaṃ,acariṃ+suttaṃ
acavanadhammanti,acavana+dhamman+ti
acavanadhammaṃ,acavana+dhammaṃ
accantabrahmacārino,accanta+brahmacārino
accantabrahmacārī,accanta+brahmacārī
accantaniṭṭho,accanta+niṭṭho
accantaniṭṭhā,accanta+niṭṭhā
accantapariyosāno,accanta+pariyosāno
accantapariyosānā,accanta+pariyosānā
accantasukhumālo,accanta+sukhumālo
accantayogakkhemino,accanta+yoga+khemino
accantayogakkhemī,accanta+yoga+khemī
accayasuttaṃ,accaya+suttaṃ
accayañca,accayañ+ca
accentisuttaṃ,accenti+suttaṃ
acchariyaabbhutasuttaṃ,acchariya+abbhuta+suttaṃ
acchariyaabbhutaṃ,acchariya+abbhutaṃ
acchariyabbhutacittajātā,acchariya+abbhuta+citta+jātā
acchariyadhammasamannāgatā,acchariya+dhamma+samannāgatā
acchariyamanusso,acchariya+manusso
acchariyamanussā,acchariya+manussā
acchariyamidaṃ,acchariyam+idaṃ
acchariyañca,acchariyañ+ca
accharāgaṇasaṅghuṭṭhaṃ,accharā+gaṇa+saṅghuṭṭhaṃ
accharāsaṅghaparivuto,accharā+saṅgha+parivuto
accharāsaṅghaparivutā,accharā+saṅgha+parivutā
accharāsaṅghātamattampi,accharā+saṅghāta+mattam+pi
accharāsaṅghātavaggo,accharā+saṅghāta+vaggo
accharāsuttaṃ,accharā+suttaṃ
accharāvanaropajetaṃ,accharā+vana+ropa+jetaṃ
acchañca,acchañ+ca
accherarūpaṃ,acchera+rūpaṃ
acchidaṃ,accha+idaṃ
acchiddakārī,acchidda+kārī
acchinnavutti,acchinna+vutti
acchādanavatthamokkhapāvuraṇānaṃ,acchādana+vattha+mokkha+pāvuraṇānaṃ
acchādesīti,acchādesī+ti
accinānattañhi,acci+nānattañ+hi
accipi,acci+pi
accāraddhavīriyaṃ,accāraddha+vīriyaṃ
accāyikasuttaṃ,accāyika+suttaṃ
acelakassapasuttaṃ,acela+kassapa+suttaṃ
acelakassapo,acela+kassapo
acelakavaggo,acelaka+vaggo
acelakaḷāramaṭṭakavatthu,acela+kaḷāramaṭṭaka+vatthu
acelapāthikaputtavatthu,acela+pāthikaputta+vatthu
acinteyyasuttaṃ,acinteyya+suttaṃ
aciraarahattappatto,acira+arahatta+patto
acirakāritaṃ,acira+kāritaṃ
acirakārito,acira+kārito
acirapabbajito,acira+pabbajito
acirapabbajitā,acira+pabbajitā
acirapakkantassa,acira+pakkantassa
acirapakkantasuttaṃ,acira+pakkanta+suttaṃ
acirapakkantaṃ,acira+pakkantaṃ
acirapakkante,acira+pakkante
acirapakkantesu,acira+pakkantesu
acirapakkanto,acira+apakkanto,acira+pakkanto
acirapakkantīsu,acira+pakkantīsu
aciraparinibbute,acira+parinibbute
aciraparinibbutesu,acira+parinibbutesu
aciravatabhūmijanāmo,aciravata+bhūmija+nāmo
aciravatīnadīupamā,aciravatī+nadī+upamā
aciravuṭṭhito,acira+vuṭṭhito
adaliddasuttaṃ,adalidda+suttaṃ
adaliddoti,adaliddo+ti
adantaaguttasuttaṃ,adanta+agutta+suttaṃ
