abaddho,baddho
passaddhānisaṃsā,passaddhi+ānisaṃsā
passaddhīti,passaddhī+ti
passasissāmīti,passasissāmī+ti
passasukhaṃ,passa+sukhaṃ
passasāmīti,passasāmī+ti
passathayye,passatha+ayye
passato,pi+assa
passatīti,passatī+ti
passaññeva,passaññ+eva
passaṃyevāha,passaṃ+yeva+āha
passeyyanti,passeyya+ti,passeyyan+ti
passāmahaṃ,passāmi+ahaṃ
passāmīti,passāmī+ti
passānanda,passa+ānanda
passāvakammā,passāva+kammā
pasupālakaṃ,pasu+pālakaṃ
pasupālakā,pasu+pālakā
pasādabahulo,pasāda+bahulo
pasādakaradhammavaggo,pasāda+kara+dhamma+vaggo
pasādakaradhammā,pasāda+kara+dhammā
pasādamattā,pasāda+mattā
pasādatthaṃ,pasāda+atthaṃ
pasādetūti,pasādetu+ti
pathagamanaṃ,patha+gamanaṃ
pathantaṃ,patha+antaṃ
pathavikāyaṃ,pathavi+kāyaṃ
pathavikāyo,pathavi+kāyo
pathavimaṇḍalaṃ,pathavi+maṇḍalaṃ
pathavimaṇḍale,pathavi+maṇḍale
pathavirasaṃ,pathavi+rasaṃ
pathavisaññī,pathavi+saññī
pathavissitā,pathavi+sitā
pathaviyāpi,pathaviyā+pi
pathaviñca,pathaviñ+ca
pathavīdhātu,pathavī+dhātu
pathavīdhātunirodhagāminiṃ,pathavī+dhātu+nirodha+gāminiṃ
pathavīdhātunirodhaṃ,pathavī+dhātu+nirodhaṃ
pathavīdhātunissitaṃ,pathavī+dhātu+nissitaṃ
pathavīdhāturevesā,pathavī+dhātu+eva+esā
pathavīdhātusamudayaṃ,pathavī+dhātu+samudayaṃ
pathavīdhātusuttaṃ,pathavī+dhātu+suttaṃ
pathavīdhātuyā,pathavī+dhātuyā
pathavīdhātuyāpi,pathavī+dhātuyā+pi
pathavīdhātuṃ,pathavī+dhātuṃ
pathavīgarahakā,pathavī+garahakā
pathavījigucchakā,pathavī+jigucchakā
pathavīkasiṇameko,pathavī+kasiṇam+eko
pathavīkasiṇasamāpattiparamatā,pathavī+kasiṇa+samāpatti+paramatā
pathavīkasiṇasamāpattiparamā,pathavī+kasiṇa+samāpatti+paramā
pathavīkasiṇaṃ,pathavī+kasiṇaṃ
pathavīkāyaṃ,pathavī+kāyaṃ
pathavīkāyo,pathavī+kāyo
pathavīrasañcāgamma,pathavī+rasañ+ca+āgamma
pathavīsamañhi,pathavī+samañ+hi
pathavīsamaṃ,pathavī+samaṃ
pathavīsamena,pathavī+samena
pathavīsaññiniyo,pathavī+saññiniyo
pathavīsaññā,pathavī+saññā
pathavīsuttaṃ,pathavī+suttaṃ
pathavītveva,pathavī+tv+eva
patibaddhacitto,patibaddha+citto
patigādhappattā,patigādha+pattā
patikulaṃ,pati+kulaṃ
patikulāni,pati+kulāni
patilīnasuttaṃ,patilīna+suttaṃ
patilīnoti,patilīno+ti
patirūpadesavāso,patirūpa+desa+vāso
patirūpasuttaṃ,patirūpa+suttaṃ
patirūpañca,patirūpañ+ca
patirūpañhi,patirūpañ+hi
patissayamānarūpā,patissaya+māna+rūpā
patitumicchasi,patitum+icchasi
patiṭṭhitasuttaṃ,patiṭṭhita+suttaṃ
patiṭṭhitañca,patiṭṭhitañ+ca
patodacchāyaṃ,patoda+chāyaṃ
patodalaṭṭhi,patoda+laṭṭhi
patodalaṭṭhiṃ,patoda+laṭṭhiṃ
patodalaṭṭhīhi,patoda+laṭṭhīhi
patodasuttaṃ,patoda+suttaṃ
pattacīvaramādāya,patta+cīvaram+ādāya
pattacīvarapariyesanaṃ,patta+cīvara+pariyesanaṃ
pattacīvaraṃ,patta+cīvaraṃ
pattacīvarāni,patta+cīvarāni
pattadhammo,patta+dhammo
pattadhammā,patta+dhammā
pattagataṃ,patta+gataṃ
pattaggāhāpako,patta+gāhāpako
pattakallaṃ,patta+kallaṃ
pattakammasuttaṃ,patta+kamma+suttaṃ
pattakammavaggo,patta+kamma+vaggo
pattakammaṃ,patta+kammaṃ
pattakammehi,patta+kammehi
pattakammāni,patta+kammāni
pattakkhandhaṃ,patta+khandhaṃ
pattakkhandhe,patta+khandhe
pattakkhandho,patta+khandho
pattakkhandhā,patta+khandhā
pattakāyena,patta+kāyena
pattakāyānaṃ,patta+kāyānaṃ
pattanikujjanasuttaṃ,patta+nikujjana+suttaṃ
pattapariyāpannamattampi,patta+pariyāpanna+mattam+pi,patta+pariyāpanna+mattam
pattapariyāpannaṃ,patta+pariyāpannaṃ
pattapiṇḍikasuttaṃ,patta+piṇḍika+suttaṃ
pattapiṇḍiko,patta+piṇḍiko
pattapiṇḍikā,patta+piṇḍikā
pattapiṇḍikānaṃ,patta+piṇḍikānaṃ
pattappasādena,patta+appasādena
pattapāṇīti,patta+pāṇī+ti
pattasaññī,patta+saññī
pattasuttaṃ,patta+suttaṃ
pattatthikā,patta+atthikā
pattavaṭṭiṃ,patta+vaṭṭiṃ
pattayogakkhemā,patta+yoga+khemā
patteyyanti,patteyyan+ti
patthanahetu,patthana+hetu
patthanāhetu,patthanā+hetu
pattikāyaṃ,patti+kāyaṃ
pattikāyā,patti+kāyā
pattipattassa,patti+pattassa
pattisaddena,patti+saddena
pattāḷhakaṃ,patta+āḷhakaṃ
pavattamaṃsaṃ,pavatta+maṃsaṃ
pavattaphalabhojanatañca,pavatta+phala+bhojanatañ+ca,pavatta+phala+bhojanatañ
pavattaphalabhojano,pavatta+phala+bhojano
pavattaphalabhojī,pavatta+phala+bhojī
pavisantañca,pavisantañ+ca
pavisantepi,pavisante+pi
pavisitukāmo,pavisitu+kāmo
pavivekakathā,paviveka+kathā
pavivekasukhassa,paviveka+sukhassa
pavivekasukhaṃ,paviveka+sukhaṃ
pavivekasuttaṃ,paviveka+suttaṃ
pavivekañca,pavivekañ+ca
pavivekaṃyeva,pavivekaṃ+yeva
pavivekārāmassa,paviveka+ārāmassa
pavivekāvudhaṃ,paviveka+āvudhaṃ
pavivittavihārino,pavivitta+vihārino
paviṭṭhamhāti,paviṭṭhamhā+ti
pavuccatīti,pavuccatī+ti
pavuṭasatāni,pavuṭa+satāni
pavuṭṭhajātimakhilaṃ,pavuṭṭha+jātim+akhilaṃ
pavāraṇaṭṭhapanaṃ,pavāraṇa+ṭhapanaṃ
pavāraṇāsuttaṃ,pavāraṇā+suttaṃ
payatapāṇi,payata+pāṇi
payatapāṇinī,payata+pāṇinī
payāgañca,payāgañ+ca
pañcabalāni,pañca+balāni
pañcabalī,pañca+balī
pañcabalīkatā,pañca+balī+katā
pañcagatipeyyālavaggo,pañca+gati+peyyāla+vaggo
pañcahaṅgehi,pañcahi+aṅgehi
pañcahaṅgehī,pañcahi+aṅgehī
pañcahākārehi,pañcahi+ākārehi
pañcahāvuso,pañcahi+āvuso
pañcakanipātapāḷi,pañcaka+nipāta+pāḷi
pañcakanipāto,pañcaka+nipāto
pañcakaṅgasuttaṃ,pañcakaṅga+suttaṃ
pañcakkhandhe,pañca+khandhe
pañcakkhandhā,pañca+khandhā
pañcakāmaguṇe,pañca+kāma+guṇe
pañcakāmaguṇike,pañca+kāma+guṇike
pañcakāmaguṇiko,pañca+kāma+guṇiko
pañcakāmaguṇāni,pañca+kāma+guṇāni
pañcamacchariyasuttaṃ,pañca+macchariya+suttaṃ
pañcamahāli,pañca+mahāli
pañcamapaṇṇāsakaṃ,pañcama+paṇṇāsakaṃ
pañcamasuttaṃ,pañcama+suttaṃ
pañcamattehi,pañca+mattehi
pañcamattānaṃ,pañca+mattānaṃ
pañcamattāni,pañca+mattāni
pañcamavaggo,pañcama+vaggo
pañcamettha,pañcamo+ettha
pañcanayapadāni,pañca+naya+padāni
pañcanidhimukhāni,pañca+nidhi+mukhāni
pañcanimittakathā,pañca+nimitta+kathā
pañcannañca,pañcannañ+ca
pañcanīvaraṇe,pañca+nīvaraṇe
pañcapattharaṃ,pañca+pattharaṃ
pañcapi,pañca+pi
pañcarathasatasuttaṃ,pañca+ratha+sata+suttaṃ
pañcarājasuttaṃ,pañca+rāja+suttaṃ
pañcasahasso,pañca+sahasso
pañcasatavihāraṃ,pañca+sata+vihāraṃ
pañcasataṃ,pañca+sataṃ
pañcasate,pañca+sate
pañcasatā,pañca+satā
pañcasatāni,pañca+satāni
pañcasikhagītagāthā,pañcasikha+gīta+gāthā
pañcasikhasuttaṃ,pañcasikha+suttaṃ
pañcasikkhāpadasuttaṃ,pañca+sikkhāpada+suttaṃ
pañcasikkhāpade,pañca+sikkhā+pade
pañcassa,pañca+assa
pañcasupādānakkhandhesu,pañcasu+upādāna+khandhesu
pañcasākho,pañca+sākho
pañcasīlasuttaṃ,pañca+sīla+suttaṃ
pañcasīlavisāradasuttaṃ,pañca+sīla+visārada+suttaṃ
pañcattayassa,pañca+tayo+assa
pañcattayasuttaṃ,pañca+taya+suttaṃ
pañcattayaṃ,pañca+tayaṃ
pañcavaggiye,pañca+vaggiye
pañcavaggiyā,pañca+vaggiyā
pañcavaggiyānaṃ,pañca+vaggiyānaṃ
pañcavassasatikā,pañca+vassa+satikā
pañcavassasatāyukesu,pañca+vassa+sata+āyukesu
pañcavassikā,pañca+vassikā
pañcavassāni,pañca+vassāni
pañcavedā,pañca+vedā
pañcaverabhayasuttaṃ,pañca+vera+bhaya+suttaṃ
pañcaverabhayā,pañca+vera+bhayā
pañcaverasuttaṃ,pañca+vera+suttaṃ
pañcaveraṃ,pañca+veraṃ
pañcavidhabandhanaṃ,pañca+vidha+bandhanaṃ
pañcaṅgasamannāgataṃ,pañca+aṅga+samannāgataṃ
pañcaṅgasamannāgate,pañca+aṅga+samannāgate
pañcaṅgasamannāgato,pañca+aṅga+samannāgato
pañcaṅgasuttaṃ,pañca+aṅga+suttaṃ
pañcaṅgavippahīne,pañca+aṅga+vippahīne
pañcaṅgavippahīno,pañca+aṅga+vippahīno
pañcaṅgaṃ,pañca+aṅgaṃ
pañcaṅgikassa,pañca+aṅgikassa
pañcaṅgikasuttaṃ,pañca+aṅgika+suttaṃ
pañcaṅgikavaggo,pañca+aṅgika+vaggo
pañcaṅgikañca,pañca+aṅgikañ+ca
pañcaṅgikaṃ,pañca+aṅgikaṃ
pañcaṅgike,pañca+aṅgike
pañcaṅgikena,pañca+aṅgikena
pañcaṅgiko,pañca+aṅgiko
pañcaṅgāni,pañca+aṅgāni
pañcaṭhānehi,pañca+ṭhānehi
pañceva,pañca+eva
pañcime,pañca+ime
pañcimā,pañca+imā
pañcimāni,pañca+imāni
pañcindriyā,pañca+indriyā
pañcindriyāni,pañca+indriyāni
pañcindriyānī,pañca+indriyānī
pañcoghatiṇṇo,pañca+ogha+tiṇṇo
pañcorambhāgiyāni,pañca+orambhāgiyāni,pañca+oram+bhāgiyāni
pañcoḍḍito,pañca+oḍḍito
pañcuddhambhāgiyāni,pañca+uddham+bhāgiyāni,pañca+uddhambhāgiyāni
pañcupādānakkhandhe,pañca+upādāna+khandhe
pañcupādānakkhandhesu,pañca+upādāna+khandhesu
pañcupādānakkhandhā,pañca+upādāna+khandhā
pañcupādānakkhandhānaṃ,pañca+upādāna+khandhānaṃ
pañcālacaṇḍasuttaṃ,pañcālacaṇḍa+suttaṃ
pañhabyākaraṇasuttaṃ,pañha+byākaraṇa+suttaṃ
pañhabyākaraṇāni,pañha+byākaraṇāni
pañhabyākaraṇānī,pañha+byākaraṇānī
pañhapaṭibhānaṃ,pañha+paṭibhānaṃ
pañhapaṭibhānāni,pañha+paṭibhānāni
pañhapucchāsuttaṃ,pañha+pucchā+suttaṃ
pañhaveyyākaraṇaṃ,pañha+veyyākaraṇaṃ
pañhaveyyākaraṇena,pañha+veyyākaraṇena
pañhābyākaraṇaṃ,pañha+byākaraṇaṃ
pañhāpaṭibhānāni,pañhā+paṭibhānāni
pañhāsamudāhāro,pañhā+samudāhāro
pañjalīkatā,pañjalī+katā
paññapessāmīti,paññapessāmī+ti
paññapethāti,paññapethā+ti
paññattibahulo,paññatti+bahulo
paññattipathe,paññatti+pathe
paññattipatho,paññatti+patho
paññattipathā,paññatti+pathā
paññattisuttaṃ,paññatti+suttaṃ
paññattāsane,paññatta+āsane
paññavantasuttaṃ,paññavanta+suttaṃ
paññañca,paññañ+ca
paññindriyassa,paññā+indriyassa
paññindriyaṃ,paññā+indriyaṃ
paññindriyena,paññā+indriyena
paññobhāso,paññā+obhāso
paññuttaraṃ,paññā+uttaraṃ
paññuttarā,paññā+uttarā
paññābalasuttaṃ,paññā+bala+suttaṃ
paññābalaṃ,paññā+balaṃ
paññābalena,paññā+balena
paññābhā,paññā+ābhā
paññābhāvanā,paññā+bhāvanā
paññābuddhiyo,paññā+buddhiyo
paññābāhullasuttaṃ,paññā+bāhulla+suttaṃ
paññābāhullā,paññā+bāhullā
paññābāhullāya,paññā+bāhullāya
paññācakkhu,paññā+cakkhu
paññācakkhunā,paññā+cakkhunā
paññādadaṃ,paññā+dadaṃ
paññādhanaṃ,paññā+dhanaṃ
paññāgaru,paññā+garu
paññāgatena,paññā+gatena
paññākathā,paññā+kathā
paññākkhandhassa,paññā+khandhassa
paññākkhandhaṃ,paññā+khandhaṃ
paññākkhandhena,paññā+khandhena
paññākkhandho,paññā+khandho
paññāloko,paññā+āloko
paññānirodhikaṃ,paññā+nirodhikaṃ
paññānirodhiko,paññā+nirodhiko
paññānirodhikā,paññā+nirodhikā
paññāpabhedāya,paññā+pabhedāya
paññāpabhā,paññā+pabhā
paññāpajjoto,paññā+pajjoto
paññāparibhāvitaṃ,paññā+paribhāvitaṃ
paññāparidhotaṃ,paññā+paridhotaṃ
paññāparihānī,paññā+parihānī
paññāpaṭilābhagatena,paññā+paṭilābha+gatena
paññāpaṭilābhasuttaṃ,paññā+paṭilābha+suttaṃ
paññāpaṭilābhāya,paññā+paṭilābhāya
paññāpessatīti,paññāpessatī+ti
paññāpi,paññā+pi
paññāpāripūriṃ,paññā+pāripūriṃ
paññāsampadaṃ,paññā+sampadaṃ
paññāsampadā,paññā+sampadā
paññāsampadāya,paññā+sampadāya
paññāsampanno,paññā+sampanno
paññāsampannā,paññā+sampannā
paññāsampannānaṃ,paññā+sampannānaṃ
paññāsayojanāni,paññāsa+yojanāni
paññāsuttaṃ,paññā+suttaṃ
paññāsāro,paññā+sāro
paññāsīlasamāhito,paññā+sīla+samāhito
paññāti,paññā+ti
paññāvepullasuttaṃ,paññā+vepulla+suttaṃ
paññāvepullāya,paññā+vepullāya
paññāveyyattiyassa,paññā+veyyattiyassa
paññāveyyattiyaṃ,paññā+veyyattiyaṃ
paññāveyyattiyena,paññā+veyyattiyena
paññāvimuttasuttaṃ,paññā+vimutta+suttaṃ
paññāvimuttena,paññā+vimuttena
paññāvimutti,paññā+vimutti
paññāvimuttino,paññā+vimuttino
paññāvimuttiphalā,paññā+vimutti+phalā
paññāvimuttiphalānisaṃsā,paññā+vimutti+phala+ānisaṃsā
paññāvimuttiyā,paññā+vimuttiyā
paññāvimuttiṃ,paññā+vimuttiṃ
paññāvimutto,paññā+vimutto
paññāvimuttoti,paññā+vimutto
paññāvimuttā,paññā+vimuttā
paññāvimuttī,paññā+vimuttī
paññāvisiṭṭhaṃ,paññā+visiṭṭhaṃ
paññāvisuddhi,paññā+visuddhi
paññāvuddhi,paññā+vuddhi
paññāvuddhisuttaṃ,paññā+vuddhi+suttaṃ
paññāvuddhiyā,paññā+vuddhiyā
paññāvudhaṃ,paññā+āvudhaṃ
paññāvīriyena,paññā+vīriyena
paññāyatthaṃ,paññāya+atthaṃ
paññāyethāti,paññāyethā+ti
paññāṇamaggino,paññāṇam+aggino
paṃsudhovakantevāsī,paṃsu+dhovaka+antevāsī
paṃsudhovakasuttaṃ,paṃsu+dhovaka+suttaṃ
paṃsudhovako,paṃsu+dhovako
paṃsukunthito,paṃsu+kunthito
paṃsukūlacīvaraṃ,paṃsukūla+cīvaraṃ
paṃsupisācakampi,paṃsu+pisācakam
paṃsupuñjaṃ,paṃsu+puñjaṃ
paṃsuvālukā,paṃsu+vālukā
paṅkajātaṃ,paṅka+jātaṃ
paṇidhikammaṃ,paṇidhi+kammaṃ
paṇihitaacchavaggo,paṇihita+accha+vaggo
paṇopaṇaviyā,paṇa+opaṇa+viyā
paṇunnapaccekasacco,paṇunna+pacceka+sacco
paṇītadhātu,paṇīta+dhātu
paṇītadāyakānaṃ,paṇīta+dāyakānaṃ
paṇītadāyikānaṃ,paṇīta+dāyikānaṃ
paṇītakaṇhasukkasappaṭibhāgānaṃ,paṇīta+kaṇha+sukka+sappaṭibhāgānaṃ
paṇītametaṃ,paṇītam+etaṃ
paṇītanti,paṇītan+ti
paṇītapaṇītaṃ,paṇīta+paṇītaṃ
paṇītatarasuttaṃ,paṇītatara+suttaṃ
paṇītatarasāmaññaphalaṃ,paṇītatara+sāmañña+phalaṃ
paṇītatarañca,paṇītatarañ+ca
paṇītatarañcā,paṇītatarañ+cā
paṇītañca,paṇītañ+ca
paṇḍakagocaro,paṇḍaka+gocaro
paṇḍitabhūmī,paṇḍita+bhūmī
paṇḍitajātiyo,paṇḍita+jātiyo
paṇḍitalakkhaṇāni,paṇḍita+lakkhaṇāni
paṇḍitanimittāni,paṇḍita+nimittāni
paṇḍitapaññattaṃ,paṇḍita+paññattaṃ
paṇḍitapaññattā,paṇḍita+paññattā
paṇḍitapaññattāni,paṇḍita+paññattāni
paṇḍitasuttaṃ,paṇḍita+suttaṃ
paṇḍitavatthūnī,paṇḍita+vatthūnī
paṇḍitavedanīyaṃ,paṇḍita+vedanīyaṃ
paṇḍitavedanīyo,paṇḍita+vedanīyo
paṇḍitavedanīyā,paṇḍita+vedanīyā
paṇḍitavādo,paṇḍita+vādo
paṇḍitoti,paṇḍito+ti
paṇḍitābhāsā,paṇḍita+bhāsā
paṇḍitāpadānāni,paṇḍita+padānāni
paṇḍukambalasilāyaṃ,paṇḍu+kambala+silāyaṃ
paṇḍukambale,paṇḍu+kambale
paṇḍumattikāya,paṇḍu+mattikāya
paṇḍupalāso,paṇḍu+palāso
paṇḍupuṭakassa,paṇḍu+puṭakassa
paṇḍusuttaṃ,paṇḍu+suttaṃ
paṇṇachattakena,paṇṇa+chattakena
paṇṇakasaṭaṃ,paṇṇaka+saṭaṃ
paṇṇakuṭiyo,paṇṇa+kuṭiyo
paṇṇakuṭiyā,paṇṇa+kuṭiyā
paṇṇakuṭīsu,paṇṇa+kuṭīsu
paṇṇasanthare,paṇṇa+santhare
paṇṇasantharo,paṇṇa+santharo
paṭalikatthate,paṭalika+thate
paṭalikatthato,paṭalika+atthato
paṭalikatthatāni,paṭalika+atthatāni
paṭapilotikānaṃ,paṭa+pilotikānaṃ
paṭhamaabhabbaṭṭhānasuttaṃ,paṭhama+abhabba+ṭhāna+suttaṃ
paṭhamaabhisandasuttaṃ,paṭhama+abhisanda+suttaṃ
paṭhamaadhammasuttaṃ,paṭhama+adhamma+suttaṃ
paṭhamaagatisuttaṃ,paṭhama+agati+suttaṃ
paṭhamaaggasuttaṃ,paṭhama+agga+suttaṃ
paṭhamaaggisuttaṃ,paṭhama+aggi+suttaṃ
paṭhamaagāravasuttaṃ,paṭhama+agārava+suttaṃ
paṭhamaakkhantisuttaṃ,paṭhama+akkhanti+suttaṃ
paṭhamaanuruddhasuttaṃ,paṭhama+anuruddha+suttaṃ
paṭhamaanusayasuttaṃ,paṭhama+anusaya+suttaṃ
paṭhamaanāgatabhayasuttaṃ,paṭhama+anāgata+bhaya+suttaṃ
paṭhamaanāthapiṇḍikasuttaṃ,paṭhama+anāthapiṇḍika+suttaṃ
paṭhamaanāyussāsuttaṃ,paṭhama+anāyussā+suttaṃ
paṭhamaaparihānasuttaṃ,paṭhama+aparihāna+suttaṃ
paṭhamaaparijānanasuttaṃ,paṭhama+aparijānana+suttaṃ
paṭhamaappiyasuttaṃ,paṭhama+appiya+suttaṃ
paṭhamaaputtakasuttaṃ,paṭhama+aputtaka+suttaṃ
paṭhamaapāsādikasuttaṃ,paṭhama+apāsādika+suttaṃ
paṭhamaarahantasuttaṃ,paṭhama+arahanta+suttaṃ
paṭhamaariyāvāsasuttaṃ,paṭhama+ariya+āvāsa+suttaṃ
paṭhamaasappurisasuttaṃ,paṭhama+asappurisa+suttaṃ
paṭhamaasekhasuttaṃ,paṭhama+asekha+suttaṃ
paṭhamaassādapariyesanasuttaṃ,paṭhama+assāda+pariyesana+suttaṃ
paṭhamaassādasuttaṃ,paṭhama+assāda+suttaṃ
paṭhamaavijjāpahānasuttaṃ,paṭhama+avijjā+pahāna+suttaṃ
paṭhamaaññatarabhikkhusuttaṃ,paṭhama+aññatara+bhikkhu+suttaṃ
paṭhamabalasuttaṃ,paṭhama+bala+suttaṃ
paṭhamabandhanasuttaṃ,paṭhama+bandhana+suttaṃ
paṭhamabhavasuttaṃ,paṭhama+bhava+suttaṃ
paṭhamabhayasuttaṃ,paṭhama+bhaya+suttaṃ
paṭhamabhikkhusuttaṃ,paṭhama+bhikkhu+suttaṃ
paṭhamabhāṇavāro,paṭhama+bhāṇa+vāro
paṭhamabrahmacariyasuttaṃ,paṭhama+brahmacariya+suttaṃ
paṭhamabrahmaññasuttaṃ,paṭhama+brahmañña+suttaṃ
paṭhamacetovimuttiphalasuttaṃ,paṭhama+ceto+vimutti+phala+suttaṃ
paṭhamachaphassāyatanasuttaṃ,paṭhama+cha+phassa+āyatana+suttaṃ
paṭhamachiggaḷayugasuttaṃ,paṭhama+chiggaḷa+yuga+suttaṃ
paṭhamadevacārikasuttaṃ,paṭhama+deva+cārika+suttaṃ
paṭhamadevapadasuttaṃ,paṭhama+deva+pada+suttaṃ
paṭhamadhammavihārīsuttaṃ,paṭhama+dhamma+vihārī+suttaṃ
paṭhamadhāraṇasuttaṃ,paṭhama+dhāraṇa+suttaṃ
paṭhamaduccaritasuttaṃ,paṭhama+duccarita+suttaṃ
paṭhamadukkhuppādasuttaṃ,paṭhama+dukkha+uppāda+suttaṃ
paṭhamadvayasuttaṃ,paṭhama+dvaya+suttaṃ
paṭhamadvebrāhmaṇasuttaṃ,paṭhama+dve+brāhmaṇa+suttaṃ
paṭhamadānasuttaṃ,paṭhama+dāna+suttaṃ
paṭhamadīghacārikasuttaṃ,paṭhama+dīgha+cārika+suttaṃ
paṭhamaejāsuttaṃ,paṭhama+ejā+suttaṃ
paṭhamagelaññasuttaṃ,paṭhama+gelañña+suttaṃ
paṭhamagilānasuttaṃ,paṭhama+gilāna+suttaṃ
paṭhamagiñjakāvasathasuttaṃ,paṭhama+giñjakāvasatha+suttaṃ
paṭhamahatthakasuttaṃ,paṭhama+hatthaka+suttaṃ
paṭhamahitasuttaṃ,paṭhama+hita+suttaṃ
paṭhamaibbhavādo,paṭhama+ibbha+vādo
paṭhamaiddhipādasuttaṃ,paṭhama+iddhi+pāda+suttaṃ
paṭhamaidhalokikasuttaṃ,paṭhama+idha+lokika+suttaṃ
paṭhamaisidattasuttaṃ,paṭhama+isidatta+suttaṃ
paṭhamajanasuttaṃ,paṭhama+jana+suttaṃ
paṭhamajhānapañhāsuttaṃ,paṭhama+jhāna+pañhā+suttaṃ
paṭhamajhānasuttaṃ,paṭhama+jhāna+suttaṃ
paṭhamajjhānasahagataṃ,paṭhama+jhāna+sahagataṃ
paṭhamajjhānasamāpattiyāpi,paṭhama+jhāna+samāpattiyā+pi
paṭhamajjhānaṃ,paṭhama+jhānaṃ
paṭhamajjhānā,paṭhama+jhānā
paṭhamakassapasuttaṃ,paṭhama+kassapa+suttaṃ
paṭhamakathāvatthusuttaṃ,paṭhama+kathā+vatthu+suttaṃ
paṭhamakaṇhasappasuttaṃ,paṭhama+kaṇha+sappa+suttaṃ
paṭhamakaṇḍakīsuttaṃ,paṭhama+kaṇḍakī+suttaṃ
paṭhamakhamasuttaṃ,paṭhama+khama+suttaṃ
paṭhamakhatasuttaṃ,paṭhama+khata+suttaṃ
paṭhamakodhagarusuttaṃ,paṭhama+kodha+garu+suttaṃ
paṭhamakosalasuttaṃ,paṭhama+kosala+suttaṃ
paṭhamakoṭigāmasuttaṃ,paṭhama+koṭi+gāma+suttaṃ
paṭhamakukkuṭārāmasuttaṃ,paṭhama+kukkuṭa+ārāma+suttaṃ
paṭhamakulaputtasuttaṃ,paṭhama+kula+putta+suttaṃ
paṭhamakusalasuttaṃ,paṭhama+kusala+suttaṃ
paṭhamakālasuttaṃ,paṭhama+kāla+suttaṃ
paṭhamakāmabhūsuttaṃ,paṭhama+kāmabhū+suttaṃ
paṭhamakāyaduccaritasuttaṃ,paṭhama+kāya+duccarita+suttaṃ
paṭhamalokadhammasuttaṃ,paṭhama+loka+dhamma+suttaṃ
paṭhamamacchariyasuttaṃ,paṭhama+macchariya+suttaṃ
paṭhamamaggasuttaṃ,paṭhama+magga+suttaṃ
paṭhamamahaddhanasuttaṃ,paṭhama+maha+dhana+suttaṃ
paṭhamamahānāmasuttaṃ,paṭhama+mahānāma+suttaṃ
paṭhamamahāpathavīsuttaṃ,paṭhama+mahā+pathavī+suttaṃ
paṭhamamahāpañhāsuttaṃ,paṭhama+mahā+pañhā+suttaṃ
paṭhamamahāsamuddasuttaṃ,paṭhama+mahā+samudda+suttaṃ
paṭhamamanoduccaritasuttaṃ,paṭhama+mano+duccarita+suttaṃ
paṭhamamaraṇassatisuttaṃ,paṭhama+maraṇa+sati+suttaṃ
paṭhamameghasuttaṃ,paṭhama+megha+suttaṃ
paṭhamamettāsuttaṃ,paṭhama+mettā+suttaṃ
paṭhamamigajālasuttaṃ,paṭhama+migajāla+suttaṃ
paṭhamamittasuttaṃ,paṭhama+mitta+suttaṃ
paṭhamamoranivāpasuttaṃ,paṭhama+mora+nivāpa+suttaṃ
paṭhamamārapāsasuttaṃ,paṭhama+māra+pāsa+suttaṃ
paṭhamanatumhākaṃsuttaṃ,paṭhama+na+tumhākaṃ+suttaṃ
paṭhamanayabhūmiparicchedo,paṭhama+naya+bhūmi+paricchedo
paṭhamanaḷakapānasuttaṃ,paṭhama+naḷakapāna+suttaṃ
paṭhamaniddasasuttaṃ,paṭhama+niddasa+suttaṃ
paṭhamanidānasuttaṃ,paṭhama+nidāna+suttaṃ
paṭhamanirayasaggasuttaṃ,paṭhama+niraya+sagga+suttaṃ
paṭhamanirayasuttaṃ,paṭhama+niraya+suttaṃ
paṭhamanoceassādasuttaṃ,paṭhama+no+ce+assāda+suttaṃ
paṭhamanānākaraṇasuttaṃ,paṭhama+nānā+karaṇa+suttaṃ
paṭhamanāthasuttaṃ,paṭhama+nātha+suttaṃ
paṭhamapaccorohaṇīsuttaṃ,paṭhama+paccorohaṇī+suttaṃ
paṭhamapajjunnadhītusuttaṃ,paṭhama+pajjunna+dhītu+suttaṃ
paṭhamaparihānisuttaṃ,paṭhama+parihāni+suttaṃ
paṭhamaparisuddhasuttaṃ,paṭhama+parisuddha+suttaṃ
paṭhamapatthanāsuttaṃ,paṭhama+patthanā+suttaṃ
paṭhamapaṇṇāsakaṃ,paṭhama+paṇṇāsakaṃ
paṭhamapaṇṇāsako,paṭhama+paṇṇāsako
paṭhamapaṭipadāsuttaṃ,paṭhama+paṭipadā+suttaṃ
paṭhamapaṭipattisuttaṃ,paṭhama+paṭipatti+suttaṃ
paṭhamapaṭisambhidāsuttaṃ,paṭhama+paṭisambhidā+suttaṃ
paṭhamapeyyālavaggo,paṭhama+peyyāla+vaggo
paṭhamaphalasuttaṃ,paṭhama+phala+suttaṃ
paṭhamapiyasuttaṃ,paṭhama+piya+suttaṃ
paṭhamapubbesambodhasuttaṃ,paṭhama+pubbe+sambodha+suttaṃ
paṭhamapubbārāmasuttaṃ,paṭhama+pubba+ārāma+suttaṃ
paṭhamapuggalasuttaṃ,paṭhama+puggala+suttaṃ
paṭhamapācīnaninnasuttaṃ,paṭhama+pācīna+ninna+suttaṃ
