anabhisaṅkhārañca,anabhisaṅkhārañ+ca
anacchariyagāthā,anacchariya+gāthā5
anakkosakaparibhāsako,anakkosaka+paribhāsako
analaṅkatā,analaṅ1+katā
anantattānudiṭṭhi,ananta+atta+anudiṭṭhi
anantevāsikoti,anantevāsiko+ti
ananugatantarassa,ananugata+antarassa
ananuparidhāvaṃ,an+anuparidhāvaṃ
ananuruddhaappaṭiviruddhā,ananuruddha+appaṭiviruddhā
ananuyogā,an+anuyogā
anapaloketvāva,anapaloketvā1+eva
anattamanavacanāhaṃ,anattamana2+vacanaṃ1+ahaṃ
anattamanavacanāyaṃ,anattamana2+vacanaṃ1+ayaṃ
anattanāva,anattanā+eva
anattasambhūto,anatta8+sambhūtaṃ
anattasaññāparicitañca,anatta+saññā8+paricitañ+ca
anattasaññāparicitena,anatta+saññā8+paricitena
anatthasaṃhitāya,attha52+saṃhitāya
anattukkaṃsakattaṃanatta11+ukkaṃsakataṃ
anattukkaṃsakā,anatta11+ukkaṃsakā
anattukkaṃsanā,anatta11+ukkaṃsanā
anavajjāti,anavajjā2+ti
anavasesāpattīti,anavasesā+pattī+ti
anavassutakāyakammantassa,anavassuta+kāya+kammantassa
anavassutamanokammantassa,anavassuta+mano+kammantassa
anavassutavacīkammantassa,anavassuta+vacī+kammantassa
anaṅgaṇova,anaṅgaṇo+va
anaṅgaṇānaṃyeva,anaṅgaṇānaṃ+yeva
andhakāratamaṃ,andha2+kāra+tamaṃ2
andhakārābhinivesā,andha1+kāra21+bhinivesā
anekasahassā,aneka10+sahassā3
anekasatakkhattuṃ,aneka+satakkhattuṃ
anekavihitañca,aneka1+vihitaṃ1+ca
anekaṃsikāpi,anekaṃsikā+pi
anekākārasampannaṃ,aneka+ākāra+sampannaṃ
aniccasambhūto,anicca9+sambhūto
aniccasaññañhi,anicca+saññañ2+hi
aniccasaññābhāvanānuyogamanuyuttā,anicca+saññā9+bhava5+anuyogam1+anuyuttā5
aniccasaññāparicitena,anicca+saññā+paricitena
anidassanagāmiñca,anidassana1+gāmiñ2+ca
anidassanañca,anidassanañ+ca
anikaṭṭhakāyo,nikaṭṭha+kāyo
animittācetovimuttī,animittā+ceto+vimuttī
anissitāyāti,anissitāya+ti
aniṭṭharūpaṃ,aniṭṭha+rūpaṃ1
anokasārimappicchaṃ,anoka+sārim+appicchaṃ
antaravassena,antara2+vassena1
antimasārīraṃ,antima4+sārīraṃ
antogadhāvāssa,anto+ogadhā2+eva+assa
anucarantipi,anucaranti+pi
anucariyāpi,anucariyā+pi
anuddayāyeva,anuddayā+yeva
anukampāyeva,anukampā1+yeva
anukulayaññaṃ,anukula+yaññaṃ
anukulayaññena,anukula+yaññena
anulomampi,anulomam+pi
anunayasaṃyojanassa,anunaya+saṃyojanassa
anupabbajjampāhaṃ,anupabbajjam+pi+ahaṃ
anupanentopi,anupanento+pi
anupanisoti,anupaniso+ti
anupapannapubbā,anupapanna+pubbā9
anuparisakkanahetu,anuparisakkana+hetu
anupasamaratā,anupasama+ratā
anupasamasammuditā,anupasama1+sammuditā
anupasamārāmā,anupasama1+ārāmā2
anuppannañceva,anuppannañ+ca+eva
anuppādadhamme,anuppāda+dhamme20
anuppādadhammāti,anuppāda+dhammā+ti
anupubbavihārasamāpattinaṃ,anupubba+vihāra+samāpattinaṃ
anupubbavihārasamāpattīnaṃ,anupubba+vihāra+samāpattīnaṃ
anupādisesoti,saupādiseso+ti
anupādānassāvuso,anupādānassā+avuso
anupādāparinibbānāyā,anupādā+parinibbānāyā
anupāpuṇitvā,anupāpuṇi+tvā
anupāyāsabahulā,anupāyāsa+bahulā
anupāyāsanti,anupāyāsan+ti
anuruddhova,anuruddho+eva
anusayasamugghātanatthaṃ,anusaya+samugghāta2+atthaṃ
anusetīti,anusetī+ti
anusotampi,anusotam+pi
anussadakajāto,an+ussadaka+jāto
anussatimpāhaṃ,anussatim+pi+ahaṃ
anusāsitabbañca,anusāsitabbaṃ2+ca
anutunimpi,anutunim+pi
anuviccāpi,anuviccā+pi
anuvātampi,anuvātam+pi
anuyogaparijegucchā,anuyoga1+parijegucchā
anuññeyyañcevāhaṃ,anuññeyyañ+ca+eva+ahaṃ
anācariyakoti,anācariyako+ti
anādeyyavācāsaṃvattaniko,anādeyya+vācā30+saṃvattaniko
anāgatamaddhānanti,anāgatam+addhānan+ti
anāgatampāhaṃ,anāgatam+pi+ahaṃ
anāgataṃpāhaṃ,anāgataṃ+pi+ahaṃ
anāgāmināpi,anāgāminā+pi
anāgāmitāti,anāgāmitā+ti
anāhatacitto,anāhata+citto
anāhārañca,anāhārañ+ca
anālayagāmiñca,anālaya+gāmiñ2+ca
anālayañca,anālayañ+ca
